1.0000000, 0.0000000, 0.0000000, 0.0000000 (8,0,0,0)

0.0466203, 0.9533797, 0.0000000, 0.0000000 (1,7,0,0)
0.1624081, 0.8375919, 0.0000000, 0.0000000 (2,6,0,0)
0.3198597, 0.6801403, 0.0000000, 0.0000000 (3,5,0,0)
0.5000000, 0.5000000, 0.0000000, 0.0000000 (4,4,0,0)

0.0627331, 0.0627331, 0.8745338, 0.0000000 (1,1,6,0)
0.0763626, 0.1942206, 0.7294168, 0.0000000 (1,2,5,0)
0.0817849, 0.3657423, 0.5524728, 0.0000000 (1,3,4,0)
0.2153606, 0.2153606, 0.5692789, 0.0000000 (2,2,4,0)
0.2217406, 0.3891297, 0.3891297, 0.0000000 (2,3,3,0)

0.0834511, 0.0834511, 0.0834511, 0.7496468 (1,1,1,5)
0.0927818, 0.0927818, 0.2299889, 0.5844475 (1,1,2,4)
0.0939538, 0.0939538, 0.4060462, 0.4060462 (1,1,3,3)
0.0978521, 0.2432058, 0.2432058, 0.4157364 (1,2,2,3)
0.2500000, 0.2500000, 0.2500000, 0.2500000 (2,2,2,2)


1,5,1,1

1,1,1,5 -> 0.0834511, 0.0834511, 0.0834511, 0.7496468

0.0834511, 0.7496468 , 0.0834511, 0.0834511